SP_SERPRO_SPO_WIKIWAN_DIARIO,2022/07/14,Completed,4,2022/07/14,TSM_OPSPO
SP_SERPRO_SPO_SGVL_DIARIO,2022/07/14,Completed,0,2022/07/14,TSM_OPSPO
SP_SERPRO_SPO_RLSL_DIARIO,2022/07/14,Completed,0,2022/07/14,TSM_OPSPO
SP_SERPRO_SPO_ZABBIXWEBFILES_DIARIO,2022/07/14,Completed,0,2022/07/14,TSM_OPSPO
SP_SERPRO_SPO_RADIUS_DIARIO,2022/07/14,Completed,0,2022/07/14,TSM_OPSPO
SP_SERPRO_SPO_APLICACOESWEB_DIARIO,2022/07/14,Completed,0,2022/07/14,TSM_OPSPO
SP_SERPRO_SPO_SGIC_DIARIO,2022/07/14,Completed,0,2022/07/14,TSM_OPSPO
SP_SERPRO_SPO_WIKIWAN_DIARIO,2022/07/13,Completed,4,2022/07/13,TSM_OPSPO
SP_SERPRO_SPO_SGVL_DIARIO,2022/07/13,Completed,0,2022/07/13,TSM_OPSPO
SP_SERPRO_SPO_RLSL_DIARIO,2022/07/13,Completed,0,2022/07/13,TSM_OPSPO
SP_SERPRO_SPO_ZABBIXWEBFILES_DIARIO,2022/07/13,Completed,0,2022/07/13,TSM_OPSPO
SP_SERPRO_SPO_RADIUS_DIARIO,2022/07/13,Completed,0,2022/07/13,TSM_OPSPO
SP_SERPRO_SPO_APLICACOESWEB_DIARIO,2022/07/13,Completed,0,2022/07/13,TSM_OPSPO
SP_SERPRO_SPO_SGIC_DIARIO,2022/07/13,Completed,0,2022/07/13,TSM_OPSPO
SP_SERPRO_SPO_WIKIWAN_DIARIO,2022/07/12,Completed,4,2022/07/12,TSM_OPSPO
SP_SERPRO_SPO_SGVL_DIARIO,2022/07/12,Completed,0,2022/07/12,TSM_OPSPO
SP_SERPRO_SPO_RLSL_DIARIO,2022/07/12,Completed,0,2022/07/12,TSM_OPSPO
SP_SERPRO_SPO_ZABBIXWEBFILES_DIARIO,2022/07/12,Completed,0,2022/07/12,TSM_OPSPO
SP_SERPRO_SPO_RADIUS_DIARIO,2022/07/12,Completed,0,2022/07/12,TSM_OPSPO
SP_SERPRO_SPO_APLICACOESWEB_DIARIO,2022/07/12,Completed,0,2022/07/12,TSM_OPSPO
SP_SERPRO_SPO_SGIC_DIARIO,2022/07/12,Completed,0,2022/07/12,TSM_OPSPO
SP_SERPRO_SPO_WIKIWAN_DIARIO,2022/07/11,Completed,4,2022/07/11,TSM_OPSPO
SP_SERPRO_SPO_SGVL_DIARIO,2022/07/11,Completed,0,2022/07/11,TSM_OPSPO
SP_SERPRO_SPO_RLSL_DIARIO,2022/07/11,Completed,0,2022/07/11,TSM_OPSPO
SP_SERPRO_SPO_ZABBIXWEBFILES_DIARIO,2022/07/11,Completed,0,2022/07/11,TSM_OPSPO
SP_SERPRO_SPO_RADIUS_DIARIO,2022/07/11,Completed,0,2022/07/11,TSM_OPSPO
SP_SERPRO_SPO_APLICACOESWEB_DIARIO,2022/07/11,Completed,0,2022/07/11,TSM_OPSPO
SP_SERPRO_SPO_SGIC_DIARIO,2022/07/11,Completed,0,2022/07/11,TSM_OPSPO
SP_SERPRO_SPO_WIKIWAN_DIARIO,2022/07/08,Completed,4,2022/07/08,TSM_OPSPO
SP_SERPRO_SPO_SGVL_DIARIO,2022/07/08,Completed,0,2022/07/08,TSM_OPSPO
SP_SERPRO_SPO_RLSL_DIARIO,2022/07/08,Completed,0,2022/07/08,TSM_OPSPO
SP_SERPRO_SPO_ZABBIXWEBFILES_DIARIO,2022/07/08,Completed,0,2022/07/08,TSM_OPSPO
SP_SERPRO_SPO_RADIUS_DIARIO,2022/07/08,Completed,0,2022/07/08,TSM_OPSPO
SP_SERPRO_SPO_APLICACOESWEB_DIARIO,2022/07/08,Completed,0,2022/07/08,TSM_OPSPO
SP_SERPRO_SPO_SGIC_DIARIO,2022/07/08,Completed,0,2022/07/08,TSM_OPSPO
/tsm_activelog,50G,30G,21G,59%,TSM_OPSPO
/tsm_archivelog,150G,1.4G,149G,1%,TSM_OPSPO
/tsm_backup_db,500G,184G,317G,37%,TSM_OPSPO
/tsm_fpool_disco,5.0T,35M,5.0T,1%,TSM_OPSPO
/tsm_fpool,2.0T,1.1T,970G,53%,TSM_OPSPO
/tsm_db,200G,98G,103G,49%,TSM_OPSPO
